16700	12376	0.741
71860	45551	0.634
34700	30716	0.885
42300	23004	0.544
61400	37434	0.61
16650	14232	0.855
22000	12264	0.557
104900	101313	0.966
100300	86369	0.861
2100	1320	0.629
8000	3174	0.397
7600	1794	0.236
19500	14931	0.766
172800	136337	0.789
8709	8709	1
73000	40518	0.555
62000	62603	1.01
7400	6361	0.86
313000	261958	0.837
43200	41127	0.952
107090	75807	0.708
29200	20052	0.687
271750	237166	0.873
1363100	1196486	0.878
6500	5586	0.859
9400	5893	0.627
58940	36790	0.624
1900	1092	0.575
24000	15063	0.628
60600	52484	0.866
24400	15610	0.64
7200	4526	0.629
22600	17997	0.796
1600	359	0.224
82460	68901	0.836
